Style	Title	Parenting	Description	Bullets
B515D18AMA	AMAZING SPIDERMAN KIDS	KIDS>BOYS	Everyone's favorite arachnid, our Amazing Spiderman socks are guaranteed to get your spidey sense tingling. Officially licensed by Marvel and personally-approved by your friendly neighborhood webslinger.	Elastic Arch Support|Reinforced Heel & Toe|Seamless Toe Closure|Machine Wash in 40 °C / 104 °F.|Avoid Bleaching or Ironing the socks.|Socks will last longer if you keep them out of the dryer.	
B515D18CAP	CAPTAIN AMERICA KIDS	KIDS>BOYS	The product of our top secret collaboration with Stark Enterprises, save the planet in style with the Invincible Iron Man. Superpowers not included.	Elastic Arch Support|Reinforced Heel & Toe|Seamless Toe Closure|Machine Wash in 40 °C / 104 °F.|Avoid Bleaching or Ironing the socks.|Socks will last longer if you keep them out of the dryer.	
B515D18KLJ	KIDS LAKERS JERSEY	KIDS>BOYS>NBA	Wilt Chamberlain, Elgin Baylor, Magic Johnson, Kareem Abdul-Jabbar, Shaquille O'Neal, James Worthy, Kobe Bryant--through the years, the Lakers have had no shortage of talent. It's no wonder they've snagged sixteen championships. Pay homage to the Lakeshow with the Lakers Jersey, a design made to look like the perforated team jersey this legendary team wears on game day.	Elastic Arch Support|Reinforced Heel & Toe|Seamless Toe Closure|Machine Wash in 40 °C / 104 °F.|Avoid Bleaching or Ironing the socks.|Socks will last longer if you keep them out of the dryer.	
B515D18KWJ	KIDS WARRIORS JERSEY	KIDS>BOYS>NBA	All eyes are on the Warriors. Yet this pressure is nothing new. After all, the team has made over thirty trips to the playoffs and snagged four championships. Cheer on the Warriors with Warriors Jersey, a design made to look like the perforated team jersey this legendary teams wear on game day.	Elastic Arch Support|Reinforced Heel & Toe|Seamless Toe Closure|Machine Wash in 40 °C / 104 °F.|Avoid Bleaching or Ironing the socks.|Socks will last longer if you keep them out of the dryer.	
B803D18MAR	MARVEL BOYS	KIDS>BOYS>BOYS UNDERWEAR	Spider-Man. Captain America. Thor. The Incredible Hulk. And, of course, Iron Man. Founded in 1939 as Atlas Comics, the Marvel Universe has given rise to some of pop culture's most beloved superheroes and villains. Here's your chance to pay homage to this legendary enterprise with this most fantastic Mavel Boxer Brief.	Fitted boxer brief|3.5'' Inseam Length|Feather-Seam™ Construction|Exposed Elastic Core-flex™ Waistband|Machine Wash Cold|Tumble Dry Low	
M359D18GAM	_	_	_	_	
M545D18JAZ	JAZZ JERSEY	FAN SHOP>NBA>SHOP BY NBA TEAM>UTAH JAZZ	Seemingly always in contention, the Utah Jazz have made the playoffs 27 times over the course of their NBA tenure, including 20 straight led by the legendary duo John Stockton and Karl Malone. Give an assist to the Utah Jazz, with Stance's Jazz Jersey.	Terry Loop In Forefoot, Heel, And Toe For Cushioning|Arch Support|Reinforced Heel & Toe|Seamless Toe Closure|Machine Wash in 40 °C / 104 °F.|Avoid Bleaching or Ironing the socks.|Socks will last longer if you keep them out of the dryer.	
M545D18MST	_	_	_	_	
M546D18HOL	HOLIBLAZE	MEN>LIFESTYLE>ALL CASUAL	Family holidays can get heavy. Keep things light with Holiblaze, a funny take on the holidays with burning Christmas tree and mistletoe graphics.	Athletic Ribbed|Elastic Arch Support|Reinforced Heel & Toe|Seamless Toe Closure|Machine Wash in 40 °C / 104 °F.|Avoid Bleaching or Ironing the socks.|Socks will last longer if you keep them out of the dryer.	
M546D18MAR	MARVEL ICONS	MEN>LIFESTYLE>COLLECTIONS>MARVEL	Spider-Man. Captain America. Thor. The Incredible Hulk. And, of course, Iron Man. Founded in 1939 as Atlas Comics, the Marvel Universe has given rise to some of pop culture's most beloved superheroes and villains. Here's your chance to pay homage to this legendary enterprise with our most fantastic Mavel Icons release.	Athletic Ribbed|Elastic Arch Support|Reinforced Heel & Toe|Seamless Toe Closure|Machine Wash in 40 °C / 104 °F.|Avoid Bleaching or Ironing the socks.|Socks will last longer if you keep them out of the dryer.	
M546D18PRA	PRANCER	MEN>LIFESTYLE>ALL CASUAL	Who needs Dasher and Daner? Stance is happy to give you Prancer, a classic holiday sock that's sure to keep your attire in the holiday spirit.	Athletic Ribbed|Elastic Arch Support|Reinforced Heel & Toe|Seamless Toe Closure|Machine Wash in 40 °C / 104 °F.|Avoid Bleaching or Ironing the socks.|Socks will last longer if you keep them out of the dryer.	
M546D18VEC	VENOM COMIC	MEN>LIFESTYLE>ALL CASUAL	All hail the lethal protector. Channel your inner-Eddie Brock with our Venom Comic sock, a classic design inspired by the original Marvel artwork.	Athletic Ribbed|Elastic Arch Support|Reinforced Heel & Toe|Seamless Toe Closure|Machine Wash in 40 °C / 104 °F.|Avoid Bleaching or Ironing the socks.|Socks will last longer if you keep them out of the dryer.	
M546D18VEN	VENOM	MEN>LIFESTYLE>ALL CASUAL	We can't all be heroes. Embrace your inner demons with our symbiote-inspired Venom sock, officially licensed by Marvel.	Athletic Ribbed|Elastic Arch Support|Reinforced Heel & Toe|Seamless Toe Closure|Machine Wash in 40 °C / 104 °F.|Avoid Bleaching or Ironing the socks.|Socks will last longer if you keep them out of the dryer.	
